,glottocode,name,isocodes,latitude,longitude
12715,oldt1247,Old Turkish,otk,0.0,0.0
12716,oldu1238,Old Uighur,oui,0.0,0.0
12717,oldw1238,Old Wanji,0,0.0,0.0
12718,oldw1239,Old Welsh,owl,0.0,0.0
12724,olko1234,Olkol,olk,0.0,0.0
12759,omom1235,Omomil,0,0.0,0.0
12788,ooku1235,Ooku,0,0.0,0.0
12799,opon1234,Opón-Carare,0,0.0,0.0
12821,orig1234,Original Costa Rican Sign Language,0,0.0,0.0
12824,oriy1255,Oriya,ory,0.0,0.0
12826,orko1234,Orkon-Fanbak,fnb,0.0,0.0
12838,orok1270,Orokaiva (Retired),ork,0.0,0.0
12842,orop1234,Oropom,0,0.0,0.0
12863,osca1245,Oscan,osc,0.0,0.0
12941,paca1247,Pacaguara-Mercier,0,0.0,0.0
12943,paca1243,Pacahuaras-Castillo,0,0.0,0.0
12962,paek1234,Paekche,pkc,0.0,0.0
12977,pahl1241,Pahlavi,pal,0.0,0.0
12986,pail1244,Pai-lang,0,0.0,0.0
12991,pais1238,Paisaci Prakrit,qpp,0.0,0.0
13013,pala1331,Palaic,plq,0.0,0.0
13028,pale1264,Palembang,plm,0.0,0.0
13029,pale1262,Palen,pnl,0.0,0.0
13031,pale1261,Palestinian Jewish Aramaic,jpa,0.0,0.0
13033,pale1254,Palewyami Yokuts,0,0.0,0.0
13043,palm1241,Palmela,0,0.0,0.0
13063,pamo1255,Pamona (Retired),bcx,0.0,0.0
13067,pamu1240,Pamunkey,0,0.0,0.0
13070,pana1310,Pa Na,0,0.0,0.0
13075,pana1308,Panamanian Sign Language,lsp,0.0,0.0
13083,pana1311,Panare Trade Spanish,0,0.0,0.0
13092,panc1242,Panche,0,0.0,0.0
13135,panz1235,Panzaleo,0,0.0,0.0
13153,papu1255,Papua New Guinean Sign Language,pgz,0.0,0.0
13156,papu1254,Papuan Pidgin English,0,0.0,0.0
13163,para1318,Paraguayan Sign Language,pys,0.0,0.0
13195,part1239,Parthian,xpr,0.0,0.0
13215,past1243,Pasto,0,0.0,0.0
13216,pata1255,Patagon,0,0.0,0.0
13225,path1235,Pathiya,pty,0.0,0.0
13227,patl1234,Patla-Chicontla Totonac,tot,0.0,0.0
13237,patw1250,Patwin,pwi,0.0,0.0
13256,paya1237,Payaya,0,0.0,0.0
13264,pech1242,Pecheneg,xpc,0.0,0.0
13301,pene1237,Penesak,pen,0.0,0.0
13366,phoe1239,Phoenician,phn,0.0,0.0
13375,phry1239,Phrygian,xpg,0.0,0.0
13399,pict1238,Pictish,xpi,0.0,0.0
13402,pidg1256,Pidgin Carib,0,0.0,0.0
13403,pidg1254,Pidgin Chinook Jargon,0,0.0,0.0
13405,pidg1237,Pidgin Fijian,0,0.0,0.0
13406,pidg1248,Pidgin Gulf Arabic,0,0.0,0.0
13407,pidg1249,Pidgin Hawaiian,0,0.0,0.0
13408,pidg1251,Pidgin Hindustani,0,0.0,0.0
13409,pidg1255,Pidgin Kaurna,0,0.0,0.0
13410,pidg1252,Pidgin Madam,0,0.0,0.0
13411,pidg1247,Pidgin Ngarluma,0,0.0,0.0
13412,pidg1257,Pidgin Tukang Besi,0,0.0,0.0
13432,pime1237,Pimenteira,0,0.0,0.0
13470,pisi1234,Pisidian,xps,0.0,0.0
13473,pita1243,Pitaguary,0,0.0,0.0
13508,poch1244,Pochutec,xpo,0.0,0.0
13542,poll1238,Pollapese,0,0.0,0.0
13561,pont1258,Ponthai,0,0.0,0.0
13567,poqo1257,"Poqomam, Eastern",poa,0.0,0.0
13568,poqo1255,"Poqomam, Southern",pou,0.0,0.0
13570,poqo1256,"Poqomchi', Western",pob,0.0,0.0
13603,poya1239,Poya,0,0.0,0.0
13627,prov1247,Provençal (Retired),prv,0.0,0.0
13635,pubi1237,Pubian,pun,0.0,0.0
13655,pula1268,Pula Yi,ypl,0.0,0.0
13701,puru1267,Puruguay,0,0.0,0.0
13713,puwa1234,Puwa Yi,ypw,0.0,0.0
13739,qata1238,Qatabanian,xqt,0.0,0.0
13778,quee1234,Queensland Kanaka English,0,0.0,0.0
13779,quep1238,Quepos,0,0.0,0.0
13780,quer1237,Querandi,0,0.0,0.0
13787,quig1235,Quignam,0,0.0,0.0
13790,quil1251,Quillacinga,0,0.0,0.0
13792,quin1252,Quinigua,0,0.0,0.0
13798,quji1234,Qujiang Hakka-Shibei Shaoguan Tuhua,0,0.0,0.0
13810,raet1238,Raetic,xrr,0.0,0.0
13828,rajb1244,Rajbanshi (Retired),rjb,0.0,0.0
13860,rana1249,Ranau (Retired),rae,0.0,0.0
13908,rawa1268,Rawas (Retired),rws,0.0,0.0
13944,reng1255,Rengmitca,0,0.0,0.0
14025,roma1333,Romanian Pidgin Arabic,0,0.0,0.0
14051,roqu1234,Roquetas Pidgin Spanish,0,0.0,0.0
14111,russ1267,Russenorsk,0,0.0,0.0
14140,saba1279,Sabaic,xsa,0.0,0.0
14158,saca1239,Sacata,0,0.0,0.0
14206,saka1300,Sakan,xsk,0.0,0.0
14274,samb1325,Sambalpuri,spv,0.0,0.0
14294,samo1307,Samoan Plantation Pidgin,0,0.0,0.0
14322,sana1298,Sanapaná,spn,0.0,0.0
14349,sanf1266,San Francisco Solano,0,0.0,0.0
14429,sans1265,Sansimoniano,0,0.0,0.0
14530,sara1350,Sarawak Bisaya,bsd,0.0,0.0
14539,sarr1247,Sar (Indonesia),0,0.0,0.0
14574,saur1252,Sauraseni Prakrit,psu,0.0,0.0
14623,sebs1234,Seb Seliyer,0,0.0,0.0
14671,sela1262,Selako,skl,0.0,0.0
14693,seme1248,Semendo,sdd,0.0,0.0
14747,sera1272,Serawai,srj,0.0,0.0
14754,sere1258,Serengeti-Dorobo,0,0.0,0.0
14811,shak1238,Shakara,nfk,0.0,0.0
14826,shan1278,Shang,0,0.0,0.0
14836,shan1291,Shanjo,0,0.0,0.0
14910,shiw1234,Shiwa,0,0.0,0.0
14972,sibe1250,Siberian Tatar,sty,0.0,0.0
14983,sica1234,Sicana,sxc,0.0,0.0
14989,sicu1234,Sicula,scx,0.0,0.0
14992,side1240,Sidetic,xsd,0.0,0.0
15031,sile1253,Silesian,szl,0.0,0.0
15035,sill1240,Silla,0,0.0,0.0
15039,silt1241,Silt'e (Retired),xst,0.0,0.0
15063,sind1280,Sindang Kelingi,sdi,0.0,0.0
15152,siza1240,Sizaki,szk,0.0,0.0
15188,sogd1245,Sogdian,sog,0.0,0.0
15207,solo1261,Solombala English,0,0.0,0.0
15289,soul1243,Souletin Basque,bsz,0.0,0.0
15294,sout2466,South-Arabian-Unknown-k,0,0.0,0.0
15296,sout3227,South Australian Pidgin English,0,0.0,0.0
15332,sout3223,Southeastern Puebla Nahuatl,nhs,0.0,0.0
15369,sout2920,Southern Betsimisaraka Malagasy,bzc,0.0,0.0
15420,sout3226,Southern Khanty,0,0.0,0.0
15437,sout3225,Southern Marakwet,tle,0.0,0.0
15467,sout3224,Southern Pesisir,pec,0.0,0.0
15498,sout3241,Southern Tidung,itd,0.0,0.0
15522,sout3221,Southern Zhuang,ccy,0.0,0.0
15547,sout3126,South Lucanian,0,0.0,0.0
15608,sout3222,Southwest Gbaya (Retired),mdo,0.0,0.0
15680,suba1254,Suba (Retired),suh,0.0,0.0
15694,tarp1241,Sufrai,suf,0.0,0.0
15744,sumt1234,Sumtu Chin,csv,0.0,0.0
15753,sung1271,Sungkai (Indonesia),suu,0.0,0.0
15780,suri1273,Surigaonon,sgd,0.0,0.0
15846,taba1269,Tabancal,0,0.0,0.0
15865,taca1258,Tacanec,mtz,0.0,0.0
15867,tach1242,Tachoni,lts,0.0,0.0
15869,tacu1234,Tacunyape,0,0.0,0.0
15882,taen1234,Taensa,0,0.0,0.0
15892,taga1279,Tagalaka,tgz,0.0,0.0
15930,tail1248,Tai Laing,tjl,0.0,0.0
15936,taim1252,Taimyr Pidgin Russian,0,0.0,0.0
16018,talo1253,Talossan,tzl,0.0,0.0
16077,tand1258,Tandaganon,tgn,0.0,0.0
16119,tanj1248,Tanjong,tnj,0.0,0.0
16126,tanp1235,Tanpachoa,0,0.0,0.0
16137,tapa1260,Tapachultec,qcs,0.0,0.0
16139,tapa1261,Tapajó,0,0.0,0.0
16176,tart1237,Tartessian,txr,0.0,0.0
16182,tasm1247,Tasmanian,xtz,0.0,0.0
16208,taut1234,Taut Batu,0,0.0,0.0
16232,tawe1235,Tawendê,0,0.0,0.0
16266,tebu1240,Tebul Sign Language,tsy,0.0,0.0
16320,temb1278,Tembey,0,0.0,0.0
16423,thac1235,Thachanadan,thn,0.0,0.0
16452,thee1239,Theen,0,0.0,0.0
16455,thii1234,Thiin,iin,0.0,0.0
16464,thra1250,Thracian,txh,0.0,0.0
16488,tibe1277,Tibetan Sign Language,0,0.0,0.0
16523,tiju1234,Tijuana Sign Language,0,0.0,0.0
16526,tikh1243,Tikhak,0,0.0,0.0
16616,tlal1234,Tlalitzlipa Nahuatl,nhj,0.0,0.0
16634,toal1234,Toala',tlz,0.0,0.0
16683,tokh1242,Tokharian A,xto,0.0,0.0
16684,tokh1243,Tokharian B,txb,0.0,0.0
16694,tola1236,Tolai-Nakanai-Trade,0,0.0,0.0
16714,tomb1246,Tombidi,0,0.0,0.0
16729,tomy1239,Tomyang,tmx,0.0,0.0
16747,tong1329,Tongva,0,0.0,0.0
16811,hiri1235,Trading Eleman,0,0.0,0.0
16812,hiri1236,Trading Koriki,0,0.0,0.0
16815,tran1282,Transalpine Gaulish,xtg,0.0,0.0
16840,trin1277,Trinidad and Tobago Sign Language,lst,0.0,0.0
16907,tual1242,Tualatin-Yamhill,nrt,0.0,0.0
16956,tums1237,Tumshuqese,xtq,0.0,0.0
16968,tune1261,Tunen,tvu,0.0,0.0
16993,tunu1234,Tunumiisiut,0,0.0,0.0
17021,turk1244,Turku,0,0.0,0.0
17030,tush1243,Tushan Names,0,0.0,0.0
17033,tuto1242,Tutong 1,ttx,0.0,0.0
17058,tyan1235,Tyanngayt-Mamngayt-Ntrwangayt-Ntrangit,0,0.0,0.0
17067,tzel1255,"Tzeltal, Bachajón",tzb,0.0,0.0
17069,tzot1262,"Tzotzil, Chamula",tzc,0.0,0.0
17070,tzot1263,"Tzotzil, Chenalhó",tze,0.0,0.0
17071,tzot1261,"Tzotzil, Huixtán",tzu,0.0,0.0
17072,tzot1260,"Tzotzil, San Andrés Larrainzar",tzs,0.0,0.0
17073,tzot1264,"Tzotzil, Zinacantán",tzz,0.0,0.0
17075,tzut1249,"Tz'utujil, Western",tzt,0.0,0.0
17117,ugar1238,Ugaritic,uga,0.0,0.0
17202,umbr1253,Umbrian,xum,0.0,0.0
17238,ungg1243,Unggumi,xgu,0.0,0.0
17245,unub1234,Unubahe,unu,0.0,0.0
17258,uppe1459,Upper Baram Kenyah,ubm,0.0,0.0
17284,uppe1415,Upper Riverland,0,0.0,0.0
17293,uppe1436,Upper Umpqua,0,0.0,0.0
17338,uruc1243,Urucucús,0,0.0,0.0
17388,uwin1234,Uwinymil,0,0.0,0.0
17396,vaal1235,Vaal-Orange,gku,0.0,0.0
17399,fare1244,Vach-Vasjugan,0,0.0,0.0
17424,vale1251,Valencian Sign Language,vsv,0.0,0.0
17470,vazi1234,Vazimba,0,0.0,0.0
17483,vene1257,Venetic,xve,0.0,0.0
17491,vere1252,Vere Kaadam,0,0.0,0.0
17514,vili1239,Vili of Ngounie,0,0.0,0.0
17531,vito1235,Vitou,vto,0.0,0.0
17553,sout2679,Võro,vro,0.0,0.0
17608,waga1262,Wagawaga (Retired),wgw,0.0,0.0
17650,waka1282,Wakabunga,wwb,0.0,0.0
17689,walo1239,Walo Kumbe Dogon,dwl,0.0,0.0
17703,wamp1250,Wampano,qyp,0.0,0.0
17781,ware1252,Ware,wre,0.0,0.0
17783,ware1255,Warekena Velha,0,0.0,0.0
17839,wavu1234,Wavu-II,0,0.0,0.0
17851,waya1264,Wayanad Chetti,ctt,0.0,0.0
17961,west2778,Western Durango Nahuatl,azn,0.0,0.0
17971,west2863,Western Frisian (Retired),fri,0.0,0.0
17987,west2777,Western Jicaque,0,0.0,0.0
18052,west2873,Western Puroik,0,0.0,0.0
18093,west2864,West Greenlandic Eskimo Pidgin,0,0.0,0.0
18197,wira1265,Wirangu,wgu,0.0,0.0
18212,wocc1242,Woccon,xwc,0.0,0.0
18233,womo1238,Womo-Sumararu,wmx,0.0,0.0
18247,worr1237,Worrorra,wro,0.0,0.0
18281,wulw1234,Wulwulam,0,0.0,0.0
18285,wume1236,Wumeng Yi,ywm,0.0,0.0
18301,wuth1237,Wuthathi,0,0.0,0.0
18312,ww2p1234,WW2 Pidgin German,0,0.0,0.0
18314,wymy1235,Wymysorys,wym,0.0,0.0
18374,xoco1235,Xoco,0,0.0,0.0
18411,yadh1237,Yadhaykenu,0,0.0,0.0
18468,yama1265,Yamasee,0,0.0,0.0
18486,yana1258,Yanacona,0,0.0,0.0
18498,yang1305,Yangathimri,0,0.0,0.0
18596,yaoa1239,Yebarana,0,0.0,0.0
18609,yele1238,Yelelihre,0,0.0,0.0
18616,yeme1237,Yemeni Sign Language,0,0.0,0.0
18649,yila1234,Yilan Creole Japanese,0,0.0,0.0
18654,yima1235,Yimas-Alamblak-Pidgin,0,0.0,0.0
18655,yima1244,Yimas-Arafundi-Pidgin,0,0.0,0.0
18656,yima1246,Yimas-Iatmul Pidgin,0,0.0,0.0
18657,yima1245,Yimas-Karawari Pidgin,0,0.0,0.0
18668,ying1248,Yinglish,yib,0.0,0.0
18671,yinh1234,Yinhawangka,ywg,0.0,0.0
18692,yogy1234,Yogyakarta Sign Langauge,0,0.0,0.0
18698,yoko1234,Yokohama Pidgin,0,0.0,0.0
18701,yola1237,Yola,yol,0.0,0.0
18702,yoln1234,Yolngu Sign Language,ygs,0.0,0.0
18713,yonc1234,Yoncalla,sxk,0.0,0.0
18742,yoru1246,Yoruba Sign Language,0,0.0,0.0
18751,yout1234,Yout Wam,ytw,0.0,0.0
18760,yuan1242,Yuanjiang-Mojiang Yi,yym,0.0,0.0
18781,yugu1250,Yugul,ygu,0.0,0.0
18784,yuka1240,Yukaghir Omok,omk,0.0,0.0
18788,yulp1239,Yulparija,0,0.0,0.0
18799,yuru1264,Yuru,ljx,0.0,0.0
18872,zbua1234,Zbu,0,0.0,0.0
