,glottocode,name,isocodes,macroarea,latitude,longitude
2,aari1239,Aari,aiw,Africa,5.95034,36.5721
4,aasa1238,Aasax,aas,Africa,-4.00679,36.8648
8,abad1241,Abadi,kbt,Papunesia,-9.03389,146.992
10,abag1245,Abaga,abg,Papunesia,-6.12028,145.665
12,abai1240,Abai Sungai,abf,Papunesia,5.55394,118.306
19,aban1242,Abanyom,abm,Africa,6.30619,8.63055
20,abau1245,Abau,aau,Papunesia,-3.97222,141.324
23,abaz1241,Abaza,abq,Eurasia,41.1214,42.7273
27,abee1242,Abé,aba,Africa,5.59682,-4.38497
32,aben1249,Abenlen Ayta,abp,Papunesia,15.4131,120.2
34,abid1235,Abidji,abi,Africa,5.65656,-4.58421
39,abin1243,Abinomn,bsa,Papunesia,-2.92281,138.891
40,abip1241,Abipon,axb,South America,-29.0,-61.0
42,abkh1244,Abkhazian,abk,Eurasia,43.056218,41.159115
46,abom1238,Abom,aob,Papunesia,-8.42448,142.842
47,abon1238,Abon,abo,Africa,6.90621,10.8769
50,abro1238,Abron,abr,Africa,7.72094,-2.50289
53,abuu1241,Abu,ado,Papunesia,-4.24027,144.474
54,abua1244,Abua,abn,Africa,4.83057,6.61492
56,abui1241,Abui,abz,Papunesia,-8.31058,124.588
59,abun1252,Abun,kgr,Papunesia,-0.57073,132.416
63,abur1243,Abure,abu,Africa,5.21534,-3.64123
64,abur1244,Abureni,mgj,Africa,4.62301,6.50634
69,acat1239,Acatepec Me'phaa,tpx,North America,17.1034,-99.0602
71,acha1250,Achagua,aca,South America,4.38649,-72.2005
72,ache1244,Ache,yif,Eurasia,24.152,102.446
73,ache1246,Aché,guq,South America,-25.5865,-56.4697
74,ache1245,Acheron,acz,Africa,10.8827,30.3187
75,achi1256,Achi,acr,North America,15.073,-90.3513
79,achi1257,Achinese,ace,Eurasia,3.90757,96.6032
81,acht1238,Achterhoeks,act,Eurasia,52.021,6.47521
83,achu1248,Achuar-Shiwiar,acu,South America,-2.82646,-77.2641
84,achu1247,Achumawi,acv,North America,41.0979,-121.191
86,acol1236,Acoli,ach,Africa,3.57738,32.5147
88,acro1239,Acroá,acs,South America,-12.594,-40.21445
90,adab1235,Adabe,adb,Papunesia,-8.22674,125.576
91,adai1235,Adai,xad,North America,31.6314,-92.0059
92,adam1253,Adamawa Fulfulde,fub,Africa,8.140326,13.077338
93,adam1238,Adamorobe Sign Language,ads,Africa,5.834,-0.151
95,adan1251,Adang,adn,Papunesia,-8.18958,124.448
96,adan1248,Adangbe,adq,Africa,6.50546,0.727155
98,adan1247,Adangme,ada,Africa,5.9437,0.13243
99,adap1234,Adap,adp,Eurasia,27.141,90.3369
101,adas1235,Adasen,tiu,Papunesia,17.8187,120.905
102,adel1244,Adele,ade,Africa,8.16975,0.619185
110,adho1243,Adhola,adh,Africa,0.73235,34.0341
117,adio1239,Adioukrou,adj,Africa,5.38228,-4.52522
119,adiw1235,Adiwasi Garasia,gas,Eurasia,24.0712,73.1426
124,adny1235,Adnyamathanha,adt,Australia,-30.1451,138.671
127,adon1237,Adonara,adr,Papunesia,-8.32027,123.159
130,adug1238,Aduge,adu,Africa,7.64567,6.13085
133,adyg1241,Adyghe,ady,Eurasia,44.0,39.33
134,adze1240,Adzera,adz,Papunesia,-6.39394,146.294
138,aeka1244,Aeka,aez,Papunesia,-8.79019,148.09
139,aeky1238,Aekyom,awi,Papunesia,-5.88478,141.532
141,aerr1238,Aer,aeq,Eurasia,25.254,69.029
142,abis1238,Aewa,ash,South America,-0.69386,-75.2183
145,afad1236,Afade,aal,Africa,12.0551,14.6343
146,afar1241,Afar,aar,Africa,12.2281,41.8083
154,afit1238,Afitti,aft,Africa,12.446,30.7611
157,afri1274,Afrikaans,afr,Africa,-22.0,30.0
159,afro1254,Afro-Seminole Creole,afs,North America,31.7843,-99.2934
167,agar1252,Agarabi,agd,Papunesia,-6.20604,145.917
169,agar1251,Agariya,agi,Eurasia,24.5024,82.297
170,agat1236,Agatu,agc,Africa,7.97915,7.71639
172,agav1236,Agavotaguerra,avo,South America,-13.29849,-53.43936
178,aghe1239,Aghem,agq,Africa,6.38956,10.0807
180,aghu1255,Aghu,ahh,Papunesia,-6.34674,140.043
181,aghu1253,Aghul,agx,Eurasia,41.9242,47.5843
182,aghu1254,Aghu Tharnggalu,ggr,Australia,-13.735,142.426
184,aghw1237,Aghwan,xag,Eurasia,40.374444,47.126667
185,agii1245,Agi,aif,Papunesia,-3.49104,142.387
188,agob1244,Agob-Ende-Kawam,kit,Papunesia,-9.08521,142.532
189,agoi1246,Agoi,ibm,Africa,5.87953,8.21629
195,agua1252,Aguacateco,agu,North America,15.3307,-91.3153
196,agua1251,Aguano,aga,South America,-5.25,-75.8333
198,agua1253,Aguaruna,agr,South America,-5.30044,-77.9218
203,agun1238,Aguna,aug,Africa,7.49256,1.74452
205,agus1235,Agusan Manobo,msm,Papunesia,8.62731,125.742
206,agut1237,Agutaynen,agn,Papunesia,10.5328,119.655
207,agwa1247,Agwagwune,yay,Africa,5.81055,8.03166
210,ahan1244,Àhàn,ahn,Africa,7.44139,6.00896
211,ahan1243,Ahanta,aha,Africa,4.85147,-1.94657
216,ahin1234,Ahin-Kayapa Kalanguya,kak,Papunesia,16.321,120.90003
217,ahir1243,Ahirani,ahr,Eurasia,21.552,73.685
219,ahom1240,Ahom,aho,Eurasia,27.2778,88.464
220,ahte1237,Ahtena,aht,North America,61.7068,-144.889
225,aich1238,Ai-Cham,aih,Eurasia,25.4908,107.844
227,aigh1235,Aighon,aix,Papunesia,-5.99488,150.272
229,aika1237,Aikanã,tba,South America,-12.6695,-60.5353
230,aikl1237,Aiklep,mwg,Papunesia,-6.23575,149.571
233,aima1241,Aimaq,aiq,Eurasia,35.283,59.1756
235,aime1238,Aimele,ail,Papunesia,-6.68656,142.656
236,aimo1244,Aimol,aim,Eurasia,24.6437,94.3556
238,ainb1238,Ainbai,aic,Papunesia,-3.09214,141.149
240,ainu1251,Ainu (China),aib,Eurasia,39.2714,76.4209
241,aiom1240,Aiome,aki,Papunesia,-5.13467,144.765
247,airo1242,Airoran,air,Papunesia,-1.8522,138.158
249,musa1266,Aisi,mmq,Papunesia,-5.37407,145.197
251,aito1238,Aiton,aio,Eurasia,26.5145,92.3169
260,ajab1235,Aja (Benin),ajg,Africa,7.06634,1.64992
262,ajas1235,Aja (Sudan),aja,Africa,8.58003,25.6122
263,ajaw1236,Ajawa,ajw,Africa,10.21,9.89205
265,ajie1238,Ajië,aji,Papunesia,-21.3029,165.468
272,mbuu1238,Ajumbu,muc,Africa,6.53792,10.2556
273,ajyi1238,Ajyíninka Apurucayali,cpc,South America,-9.82364,-74.61947
274,akkk1240,Ak,akq,Papunesia,-3.57026,141.784
275,akaa1242,Aka,soh,Africa,11.2101,33.6524
277,akab1249,Aka-Bea,abj,Eurasia,12.3782,92.7818
278,akab1248,Aka-Bo,akm,Eurasia,12.3629,92.8011
279,akac1240,Aka-Cari,aci,Eurasia,13.49086,92.94855
280,akaj1239,Aka-Jeru,akj,Eurasia,13.1525,92.9504
281,akak1252,Aka-Kede,akx,Eurasia,12.8494,92.8227
282,akak1253,Aka-Kol,aky,Eurasia,12.73253,92.78661
283,akak1251,Aka-Kora,ack,Eurasia,12.0944,92.7466
286,akan1250,Akan,aka,Africa,6.34756,-1.33254
288,akar1243,Akar-Bale,acl,Papunesia,12.6663,92.8278
290,akas1242,Akaselem,aks,Africa,8.8858,1.37035
292,west2635,Akateko,knj,North America,15.5932,-91.8421
293,akaw1239,Akawaio,ake,South America,6.16277,-60.862
294,akee1238,Ake,aik,Africa,8.59543,8.75768
295,akeb1238,Akebu,keu,Africa,7.78365,0.77668
296,akei1237,Akei,tsr,Papunesia,-15.6377,166.767
299,akha1245,Akha,ahk,Eurasia,21.2309,100.964
303,akhv1239,Akhvakh,akv,Eurasia,42.4003,46.3037
305,mosi1247,Akie,mwy,Africa,-5.43471,37.1869
310,akka1237,Akkala Sami,sia,Eurasia,67.8625,32.4046
311,akla1241,Aklanon,akl,Papunesia,11.5543,122.354
316,akol1237,Akolet,akt,Papunesia,-6.22711,150.182
318,akoo1248,Akoose,bss,Africa,4.9243,9.65522
319,akoy1238,Akoye,miw,Papunesia,-7.66067,145.669
320,akpa1238,Akpa,akf,Africa,7.32586,8.01629
323,akpe1248,Akpes,ibe,Africa,7.50256,5.95559
331,akuk1235,Akuku,ayk,Africa,7.40354,6.34264
332,akum1238,Akum,aku,Africa,6.85716,9.96261
334,akun1241,Akuntsu,aqz,South America,-12.8322,-60.9716
335,akur1238,Akurio,ako,South America,3.19607,-55.6294
337,akwa1248,Akwa,akw,Africa,-0.39897,15.4623
340,alab1254,Alaba-K'abeena,alw,Africa,7.39014,38.1732
341,alab1237,Alabama,akz,North America,30.76738,-94.62848
342,alab1246,Alabat Island Agta,dul,Papunesia,14.1217,122.014
345,alac1244,Alacatlatzala Mixtec,mim,North America,17.4944,-98.4674
348,alag1242,Alago,ala,Africa,8.34986,8.52085
350,alag1248,Alagwa,wbj,Africa,-4.64148,35.7231
351,alak1253,Alak,alk,Eurasia,15.5565,106.597
354,alam1246,Alamblak,amp,Papunesia,-4.66307,143.316
356,alan1249,Alangan,alj,Papunesia,13.0982,121.022
359,alap1235,Alapmunte,apv,South America,-12.329886,-59.996702
366,alaw1244,Alawa,alh,Australia,-15.5458,134.282
370,alco1235,Alcozauca Mixtec,xta,North America,17.3687,-98.3969
371,wail1242,Ale,wlr,Papunesia,-15.5656,166.902
373,aleg1238,Alege,alf,Africa,6.59423,9.00394
374,alek1238,Alekano,gah,Papunesia,-6.03901,145.387
377,aleu1260,Aleut,ale,North America,52.1228,-174.29
380,alge1239,Algerian Arabic,arq,Africa,35.4208,3.23033
381,alge1240,Algerian Saharan Arabic,aao,Africa,20.8884,4.80626
382,alge1235,Algerian Sign Language,asp,Africa,36.4762,3.5462
385,algo1255,Algonquin,alq,North America,47.3876,-77.5258
388,alii1240,Ali,aiy,Africa,4.60014,18.0352
396,alla1248,Alladian,ald,Africa,5.22371,-4.42647
399,alla1247,Allar,all,Eurasia,11.0803,76.6593
402,alng1239,Alngith,aid,Australia,-12.5324,141.938
404,aloa1235,Aloápam Zapotec,zaq,North America,17.4137,-96.7438
405,alop1235,Alo Phola,ypo,Eurasia,23.59,101.933
406,alor1247,Alorese,aol,Papunesia,-8.20382,124.264
413,alse1251,Alsea-Yaquina,aes,North America,44.408,-123.94
418,alug1235,Alugu,aub,Eurasia,23.0,103.0
420,aluk1238,Alu Kurumba,xua,Eurasia,11.3456,76.7995
423,alum1246,Alumu-Tesu,aab,Africa,9.01513,8.55956
424,alun1238,Alune,alp,Papunesia,-3.11477,128.394
425,aluo1235,Aluo,yna,Eurasia,26.0,102.0
426,alur1250,Alur,alz,Africa,2.36213,31.0016
428,diaa1238,Alu-Sinagen,dia,Papunesia,-3.38837,142.248
429,alut1245,Alutor,alr,Eurasia,60.3844,165.653
433,alvi1241,Alviri-Vidari,avd,Eurasia,35.0075,50.3794
434,alya1239,Alyawarr,aly,Australia,-21.0427,136.835
438,amah1245,Amahai,amq,Papunesia,-3.32028,128.939
439,amah1246,Amahuaca,amc,South America,-10.2012,-72.3208
440,amai1246,Amaimon,ali,Papunesia,-5.18742,145.368
442,amal1242,Amal,aad,Papunesia,-4.04517,141.995
446,aman1265,Amanab,amn,Papunesia,-3.51516,141.178
448,aman1266,Amanayé,ama,South America,-3.79772,-48.6613
452,amap1240,Ama (Papua New Guinea),amm,Papunesia,-4.20192,141.658
453,amar1272,Amara,aie,Papunesia,-5.55778,148.68
455,amar1274,Amarakaeri,amr,South America,-12.4931,-70.5533
456,amar1273,Amarasi,aaz,Papunesia,-10.21751,123.96373
459,amas1236,Ama (Sudan),nyi,Africa,12.0993,29.4332
460,amat1238,Amatlán Zapotec,zpo,North America,16.2707,-96.4003
462,amba1265,Ambai,amk,Papunesia,-1.88126,136.526
463,amba1269,Ambakich,aew,Papunesia,-4.23181,144.285
464,amba1267,Ambala Ayta,abc,Papunesia,14.8156,120.283
466,amba1266,Amba (Solomon Islands),utp,Papunesia,-11.2958,166.498
467,amba1263,Amba (Uganda),rwm,Africa,0.81206,30.0014
469,ambe1248,Ambelau,amv,Papunesia,-3.85919,127.196
470,ambe1247,Ambele,ael,Africa,5.94043,9.62028
472,ambl1237,Amblong,alm,Papunesia,-15.5169,166.95
473,ambo1249,Ambo,amb,Africa,7.07637,10.7798
476,ambo1250,Ambonese Malay,abs,Papunesia,-3.71342,128.184
477,ambo1252,Ambo-Pasco Quechua,qva,South America,-10.5138,-76.1135
478,ambr1239,Ambrak,aag,Papunesia,-3.61,142.56
480,ambu1247,Ambulas,abt,Papunesia,-3.7801,143.059
482,amda1238,Amdang,amj,Africa,14.7528,20.8912
483,amdo1237,Amdo Tibetan,adx,Eurasia,34.5177,100.485
484,amel1241,Amele,aey,Papunesia,-5.29126,145.687
489,amer1248,American Sign Language,ase,North America,33.8117,-81.6121
492,amga1235,Amganad Ifugao,ifa,Papunesia,16.9016,121.042
493,amha1245,Amharic,amh,Africa,11.708182,39.543456
494,amii1238,Ami,amy,Australia,-13.5573,130.04
497,amis1246,Amis,ami,Papunesia,23.0917,121.348
499,hoaa1235,Amkoe,huc,Africa,-23.93447,24.69828
502,amoo1242,Amo,amo,Africa,10.3229,8.65405
503,amol1236,Amoltepec Mixtec,mbz,North America,16.6521,-97.4518
510,ampa1239,Ampanang,apg,Papunesia,-0.79259,116.349
511,ampa1238,Ampari Dogon,aqd,Africa,14.15,-3.55
515,amri1238,Amri Karbi,ajz,Eurasia,26.024,91.482
516,amto1250,Amto,amt,Papunesia,-4.12165,141.339
521,amun1246,Amundava,adw,South America,-9.04023,-62.3064
524,amar1271,Amurdak,amg,Australia,-11.9876,132.878
526,anaa1238,Anaang,anw,Africa,4.94832,7.57969
527,anak1240,Anakalangu,akg,Papunesia,-9.63425,119.605
529,anal1239,Anal,anm,Eurasia,24.0506,94.2806
530,anam1247,Anam,pda,Papunesia,-4.68869,145.051
531,anam1249,Anambé,aan,South America,-2.71119,-49.303
532,anam1248,Anamuxra,imi,Papunesia,-4.63762,144.991
536,anas1239,Anasi,bpo,Papunesia,-1.73908,137.716
537,anat1248,Ana Tinga Dogon,dti,Africa,14.6669,-3.1168
543,anca1236,Áncá,acb,Africa,6.66524,11.1087
546,anci1242,Ancient Greek,grc,Eurasia,39.8155,21.9129
547,anci1244,Ancient Hebrew,hbo,Eurasia,31.7761,35.1725
553,anda1283,Andai,afd,Papunesia,-4.96449,143.637
557,anda1280,Andaman Creole Hindi,hca,Papunesia,11.676,92.738
558,anda1286,Andaqui,ana,South America,2.74999,-76.0
559,anda1284,Andarum,aod,Papunesia,-4.48734,144.767
561,ande1247,Andegerebinha,adg,Australia,-22.51278,137.3515
563,andh1242,Andh,anr,Eurasia,19.4734,77.7156
565,andi1255,Andi,ani,Eurasia,42.8078,46.2919
568,andi1257,Andio,bzb,Papunesia,-0.88368,123.174
569,ando1255,Andoa,anb,South America,-3.29664,-76.6056
570,ando1256,Andoque,ano,South America,-0.53751,-72.0869
572,andr1248,Andra-Hus,anx,Papunesia,-2.05894,147.085
575,anei1239,Aneityum,aty,Papunesia,-20.1864,169.825
577,anem1249,Anem,anz,Papunesia,-5.54836,148.993
578,anem1248,Aneme Wake,aby,Papunesia,-9.75911,148.479
581,anfi1235,Anfillo,myo,Africa,8.568,34.647
582,anga1290,Angaataha,agm,Papunesia,-7.15012,146.352
584,anga1293,Angal,age,Papunesia,-6.0127,143.592
585,anga1294,Angal Enen,aoe,Papunesia,-6.23296,143.583
586,anga1292,Angal Heneng,akh,Papunesia,-6.13347,143.478
587,anga1288,Angami Naga,njm,Eurasia,25.6841,93.8668
591,angg1239,Angguruk Yali,yli,Papunesia,-4.0836,139.457
592,angi1238,Angika,anp,Eurasia,26.0047,85.534
597,angl1239,Angloromani,rme,North America,39.0,-78.0
599,ango1258,Angolar,aoa,Africa,0.11438,6.59486
601,ango1254,Angor,agg,Papunesia,-3.7167,141.199
602,ango1255,Angoram,aog,Papunesia,-4.07758,144.028
603,ango1257,Angosturas Tunebo,tnd,South America,6.54198,-71.9212
613,anii1246,//Ani,hnh,Africa,-19.0966,22.9088
614,anii1245,Anii,blo,Africa,9.11127,1.60169
615,anim1239,Animere,anf,Africa,7.60385,0.41962
616,anin1240,Anindilyakwa,aoi,Australia,-13.99904,136.6415
619,anip1235,Ani Phowa,ypn,Eurasia,23.591,103.733
623,anja1238,Anjam,boj,Papunesia,-5.45899,145.717
627,anka1246,Ankave,aak,Papunesia,-7.19444,145.754
629,anma1239,Anmatyerre,amx,Australia,-22.2853,133.286
630,fada1250,Annobonese,fab,Africa,-1.43033,5.61879
632,anor1241,Anor,anj,Papunesia,-4.98449,144.801
633,anse1238,Anserma,ans,South America,6.24999,-76.05
634,ansu1237,Ansus,and,Papunesia,-1.7543,135.866
638,anta1253,Antakarinya,ant,Australia,-27.1152,134.838
639,wara1294,Anta-Komnzo-Wára-Wérè-Kémä,tci,Papunesia,-8.64917,141.52
640,anta1255,Antankarana Malagasy,xmv,Africa,-13.2164,49.2402
643,anti1245,Antigua and Barbuda Creole English,aig,North America,15.5531,-61.3156
646,anuu1241,Anu,anl,Eurasia,23.3394,98.5945
647,anua1242,Anuak,anu,Africa,7.57714,34.0267
648,anuf1239,Anufo,cko,Africa,10.2839,0.56021
650,anuk1239,Anuki,aui,Papunesia,-9.6692,149.822
651,anus1237,Anus,auq,Papunesia,-2.26271,139.502
652,anut1237,Anuta,aud,Papunesia,-11.61,169.85
657,anyi1245,Anyin,any,Africa,6.31781,-3.30532
658,anyi1244,Anyin Morofo,mtb,Africa,6.1627,-4.64232
662,aohe1237,Aoheng-Seputan,pni,Papunesia,0.87404,114.127
665,aona1235,Ao Naga,njo,Eurasia,26.3241,94.3824
666,aore1237,Aore,aor,Papunesia,-15.5753,167.166
668,aoua1234,A'ou,aou,Eurasia,26.8,105.85
673,apal1257,Apalaí,apy,South America,1.49792,-54.7457
674,apal1256,Apali,ena,Papunesia,-5.1727,145.023
675,apal1255,Apalik,apo,Papunesia,-6.29002,149.96
679,apas1235,Apasco-Apoala Mixtec,mip,North America,17.6143,-97.0657
680,apat1240,Apatani,apt,Eurasia,27.1933,93.7284
681,apia1248,Apiaká,api,South America,-7.84711,-57.91
684,apin1244,Apinayé,apn,South America,-6.10774,-47.6315
685,apma1240,Apma,app,Papunesia,-15.8559,168.189
686,apma1241,Ap Ma,kbx,Papunesia,-4.35147,144.085
694,apro1235,Aproumu Aizi,ahp,Africa,5.20273,-4.52192
696,apuc1241,A-Pucikwar,apq,Eurasia,12.241,92.7965
702,apur1254,Apurinã,apu,South America,-8.21692,-66.7714
703,aput1237,Aputai,apx,Papunesia,-7.84732,126.496
704,arab1267,Arabana,ard,Australia,-28.705,135.449
705,arab1268,Arabela,arl,South America,-1.96126,-75.0612
710,arag1245,Aragonese,arg,Eurasia,42.4669,-0.00919
714,arak1252,Araki,akr,Papunesia,-15.632997,166.952542
718,aral1243,Aralle-Tabulahan,atq,Papunesia,-2.78397,119.319
719,aram1252,Aramanik,aam,Africa,-2.90656,37.3491
721,aram1253,Arammba,stk,Papunesia,-8.29593,141.445
722,aran1261,Aranadan,aaf,Eurasia,11.35252,75.79538
724,aran1237,Arandai,jbj,Papunesia,-2.08016,132.983
727,arao1248,Araona,aro,South America,-12.4242,-67.7293
729,arap1274,Arapaho,arp,North America,43.3879,-108.81
730,arap1275,Arapaso,arj,South America,0.13727,-67.7282
739,araw1273,Araweté,awt,South America,-4.90246,-52.5001
740,araw1272,Arawum,awm,Papunesia,-5.52787,145.903
744,arbe1236,Arbëreshë Albanian,aae,Eurasia,38.911,16.7164
745,arbo1245,Arbore,arv,Africa,4.92183,36.7986
751,arch1244,Archi,aqc,Eurasia,42.3239,46.8267
752,aree1239,Are,mwc,Papunesia,-9.67147,149.999
753,area1240,'Are'are,alu,Papunesia,-9.20699,161.158
754,areb1238,Areba,aea,Australia,-16.63548,142.63107
756,arem1240,Arem,aem,Eurasia,17.7672,105.928
757,areq1237,Arequipa-La Unión Quechua,qxu,South America,-15.1806,-72.6333
760,arge1236,Argentine Sign Language,aed,South America,-34.797,-59.1798
761,argo1244,Argobba,agj,Africa,10.6596,39.756
762,argu1237,Arguni,agf,Papunesia,-2.645798,132.5556
763,arha1237,Arhâ,aqr,Papunesia,-21.2866,165.273
765,arho1237,Arhö,aok,Papunesia,-21.3183,165.161
766,arhu1242,Arhuaco,arh,South America,10.7018,-73.6363
767,arii1243,Ari,aac,Papunesia,-7.95526,142.4
768,arib1241,Aribwatsa,laz,Papunesia,-6.72266,146.991
769,arib1240,Aribwaung,ylu,Papunesia,-6.65252,146.919
773,arif1239,Arifama-Miniafia,aai,Papunesia,-9.15565,149.246
775,arig1246,Arigidi,aqg,Africa,7.56324,5.89556
777,arik1265,Arikapú,ark,South America,-12.4878,-62.7261
778,arik1262,Arikara,ari,North America,40.6473,-98.7158
779,arik1264,Arikem,ait,South America,-8.924,-63.742
780,arin1243,Arin,xrn,Eurasia,57.0,93.0
781,arin1244,Aringa,luc,Africa,3.56143,31.3071
784,arit1239,Aritinngitigh,dth,Australia,-12.50839255,142.138748
788,arma1244,Arma,aoh,South America,2.03332,-76.0
791,nucl1235,Armenian,hye,Eurasia,40.0,45.0
792,arme1259,Armenian Sign Language,aen,Eurasia,40.1002,44.4767
793,torr1259,Aro,tei,Papunesia,-3.45292,142.622
798,arom1237,Aromanian,rup,Eurasia,42.0646,22.6464
800,arop1243,Arop-Lokep,apr,Papunesia,-5.31671,147.103
801,arop1242,Arop-Sissano,aps,Papunesia,-3.06984,142.12
802,aros1241,Arosi,aia,Papunesia,-10.2441,161.432
803,fran1260,Arpitan,frp,Eurasia,45.8051,6.48152
805,arta1239,Arta,atz,Papunesia,16.4185,121.656
809,arua1263,Aruá (Amazonas State),aru,South America,-5.5,-67.98
810,arua1260,Aruamu,msy,Papunesia,-4.28957,144.842
812,arua1261,Aruá (Rondonia State),arx,South America,-12.1186,-62.4357
815,arue1240,Aruek,aur,Papunesia,-3.37841,142.715
824,arut1244,Arutani,atx,South America,4.20057,-63.1202
825,arva1236,Arvanitika Albanian,aat,Eurasia,38.283,23.3703
828,asss1237,As,asz,Papunesia,-0.75267,131.728
830,suar1238,Asabano,seo,Papunesia,-4.95072,141.978
833,asar1240,Asaro'o,mtv,Papunesia,-5.68263,146.508
834,asas1240,Asas,asd,Papunesia,-5.69345,145.549
841,asha1243,Asháninka,cni,South America,-11.9311,-73.9073
842,ashe1269,Ashe,ahs,Africa,9.36574,7.39443
844,ashe1273,Ashéninka Pajonal,cjo,South America,-10.7583,-74.2014
845,ashe1272,Ashéninka Perené,prq,South America,-10.9777,-74.9153
850,ashk1246,Ashkun,ask,Eurasia,34.84277,70.37453
851,asho1236,Asho Chin,csh,Eurasia,21.393,93.5069
853,asht1244,Ashtiani,atn,Eurasia,37.7469,48.6808
859,asil1242,Asilulu,asl,Papunesia,-3.67302,127.952
860,asko1238,Askopan,eiv,Papunesia,-6.22539,155.307
861,asoa1238,Asoa,asv,Africa,2.26818,26.7198
868,assa1263,Assamese,asm,Eurasia,26.0876,91.2932
870,assa1266,Assan,xss,Eurasia,56.0,94.0
871,assa1269,Assangori,sjg,Africa,13.9592,22.6393
874,assi1247,Assiniboine,asb,North America,49.2923,-106.068
875,assy1241,Assyrian Neo-Aramaic,aii,Eurasia,36.75,43.0
881,astu1245,Asturian,ast,Eurasia,42.4181,-6.02227
882,asue1235,Asue Awyu,psa,Papunesia,-5.98341,139.123
883,asum1237,Asumboa,aua,Papunesia,-11.2969,166.499
884,asun1236,Asunción Mixtepec Zapotec,zoo,North America,16.8762,-96.8704
885,asun1235,Asu (Nigeria),aum,Africa,10.0849,5.42081
886,asur1254,Asuri,asr,Eurasia,21.5721,83.4562
887,asut1235,Asu (Tanzania),asa,Africa,-4.17978,37.8323
888,ataa1240,Ata,atm,Papunesia,9.715,122.9
891,atak1252,Atakapa,aqp,North America,30.9121,-93.0827
895,atam1240,Ata Manobo,atd,Papunesia,7.7789,125.499
896,atam1239,Atampaya,amz,Australia,-11.0018,142.273
899,atat1238,Atatláhuca Mixtec,mib,North America,17.07133,-97.67753
900,atay1247,Atayal,tay,Papunesia,24.5209,121.388
906,athp1241,Athpariya,aph,Eurasia,26.8794,87.3296
907,atii1237,Ati,atk,Papunesia,11.1539,122.512
908,atik1240,Atikamekw,atj,North America,47.9555,-73.7989
917,atoh1238,Atohwaim,aqm,Papunesia,-6.27123,138.666
918,aton1242,Atong,ato,Africa,6.03539,9.72121
919,aton1241,Atong (India),aot,Eurasia,25.346508,90.658722
920,ator1244,Atorada,aox,South America,2.481,-60.286
924,atsa1242,Atsahuaca,atc,South America,-14.1666,-69.5
925,atsa1241,Atsam,cch,Africa,9.95914,8.48301
927,atsu1245,Atsugewi,atw,North America,40.4271,-120.661
930,atti1239,Attié,ati,Africa,5.9977,-3.8209
934,atzi1235,Atzingo Matlatzinca,ocu,North America,19.3871,-99.9239
935,auuu1241,Au,avt,Papunesia,-3.53277,142.105
942,auhe1237,'Auhelawa,kud,Papunesia,-10.0959,151.002
944,ndyu1242,Aukan,djk,South America,4.3126,-54.6419
946,aulu1238,Aulua,aul,Papunesia,-16.3579,167.697
952,aura1243,Aurê y Aurá,aux,South America,-4.137,-46.792
953,aush1241,Aushi,auh,Africa,-11.6295,29.0168
954,aush1242,Aushiri,avs,South America,-3.3196,-74.5411
956,aust1304,Austral,aut,Papunesia,-23.3843,-149.462
957,aust1253,Australian Aborigines Sign Language,asw,Australia,-25.0,135.0
958,aust1271,Australian Sign Language,asf,Australia,-30.0,145.0
959,aust1252,Austrian Sign Language,asq,Eurasia,48.1197,16.225
965,auwe1239,Auwe,smf,Papunesia,-3.33662,141.254
966,awun1245,Auwon,aww,Papunesia,-3.79671,141.999
967,auye1238,Auye,auu,Papunesia,-3.43705,136.096
968,auyo1240,Auyokawa,auo,Africa,9.85747,11.322
970,avac1239,Avá-Canoeiro,avv,South America,-13.6081,-48.1336
972,bani1254,Avane,bvv,South America,5.26123,-67.5633
973,avar1256,Avar,ava,Eurasia,41.7047,46.558
976,avat1244,Avatime,avn,Africa,6.8688,0.41314
977,avau1237,Avau,avb,Papunesia,-6.24342,150.427
978,katb1237,Avava,tmb,Papunesia,-16.2701,167.484
981,aves1237,Avestan,ave,Eurasia,31.541,53.633
985,avik1243,Avikam,avi,Africa,5.15838,-5.2529
987,avok1242,Avokaya,avu,Africa,4.38639,29.9379
992,awab1243,Awabakal,awk,Australia,-33.12847,151.43555
993,awac1239,Awa-Cuaiquer,kwi,South America,1.21652,-78.3401
994,awad1244,Awad Bing,bcu,Papunesia,-5.59896,146.355
995,awad1243,Awadhi,awa,Eurasia,27.5907,82.4663
996,awak1250,Awak,awo,Africa,9.86334,11.3291
999,awap1236,Awa (Papua New Guinea),awb,Papunesia,-6.65534,145.714
1000,awar1249,Awar,aya,Papunesia,-4.13554,144.836
1001,awar1248,Awara,awx,Papunesia,-6.16986,146.372
1003,awbo1238,Awbono,awh,Papunesia,-5.05875,139.724
1006,awee1242,Aweer,bob,Africa,-1.40124,41.234
1009,awer1241,Awera,awr,Papunesia,-2.71886,136.063
1010,awet1244,Awetí,awe,South America,-12.9336,-53.5852
1011,awin1248,Awing,azo,Africa,5.88362,10.264
1013,awiy1238,Awiyaana,auy,Papunesia,-6.54079,145.76
1014,awji1241,Awjilah-Foqaha,auj,Africa,29.2341,21.1819
1015,awng1244,Awngi,awn,Africa,10.9819,36.6916
1019,awtu1239,Awtuw,kmn,Papunesia,-3.53129,141.928
1020,awuu1235,Awu = Lope,yiu,Eurasia,25.395,103.306
